StudyPartID,SentSetID,TextID,Order,SP1ConID,Predictability,PredictID,Make_sense,Make_sense_ID,TextType,TextTypeID,GenType,GenTypeID,Note,SentenceText
1,1,SP1SS0101,1,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"1 (Epository, human, predictable, nonsense)",Giraffes are known for their long necks and zebras for their cries. 
1,1,SP1SS0102,2,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"1 (Epository, human, predictable, nonsense)",These wild animals primarily live in African huts.
1,1,SP1SS0103,3,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"1 (Epository, human, predictable, nonsense)","Therefore, they can not be kept as domestic papers. "
1,1,SP1SS0104,4,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"1 (Epository, human, predictable, nonsense)","Giraffes and zebras may appear in zoos, although, you would never see them in a public crusade."
1,1,SP1SS0105,5,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"1 (Epository, human, predictable, nonsense)", We need to do our best to preserve their natural linguistic. 
1,1,SP1SS0106,6,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"1 (Epository, human, predictable, nonsense)","Altogether, these animals showcase the diversity of nature’s storms."
1,2,SP1SS0201,1,Pre1MS1TT1G0,Yes,1,Yes,1,Expository,1,LLM,0,"2 (Epository, LLM, predictable, makes sense)",Be careful because the top of the stove is very hot. 
1,2,SP1SS0202,2,Pre1MS1TT1G0,Yes,1,Yes,1,Expository,1,LLM,0,"2 (Epository, LLM, predictable, makes sense)",You should always use an oven mitt when touching a pan.
1,2,SP1SS0203,3,Pre1MS1TT1G0,Yes,1,Yes,1,Expository,1,LLM,0,"2 (Epository, LLM, predictable, makes sense)","If you spill something, make sure to turn off the burner."
1,2,SP1SS0204,4,Pre1MS1TT1G0,Yes,1,Yes,1,Expository,1,LLM,0,"2 (Epository, LLM, predictable, makes sense)",Never leave a pot unattended while it’s on the stove.
1,2,SP1SS0205,5,Pre1MS1TT1G0,Yes,1,Yes,1,Expository,1,LLM,0,"2 (Epository, LLM, predictable, makes sense)","Once you’re done cooking, wipe everything down with a clean cloth."
1,2,SP1SS0206,6,Pre1MS1TT1G0,Yes,1,Yes,1,Expository,1,LLM,0,"2 (Epository, LLM, predictable, makes sense)","That way, your kitchen will stay safe and free of any accidents."
1,3,SP1SS0301,1,Pre0MS0TT2G1,No,0,No,0,Narrative,2,human,1,"3) Narrative, Human, unpredictable, nonsense)","Everyday, rain or shine, the joggers ran up and down the pillow. "
1,3,SP1SS0302,2,Pre0MS0TT2G1,No,0,No,0,Narrative,2,human,1,"3) Narrative, Human, unpredictable, nonsense)","If it had rained, they had to be craeful of the slick potatoes."
1,3,SP1SS0303,3,Pre0MS0TT2G1,No,0,No,0,Narrative,2,human,1,"3) Narrative, Human, unpredictable, nonsense)","However, two of the joggers, Elise and Johnny, only joined the group if the conditons were mainly furry. "
1,3,SP1SS0304,4,Pre0MS0TT2G1,No,0,No,0,Narrative,2,human,1,"3) Narrative, Human, unpredictable, nonsense)","They lived in Florida, where heavy rain was a common banana. "
1,3,SP1SS0305,5,Pre0MS0TT2G1,No,0,No,0,Narrative,2,human,1,"3) Narrative, Human, unpredictable, nonsense)","Another jogger, Daniel, was fearless, and even ran when there was a warning for a porch. "
1,3,SP1SS0306,6,Pre0MS0TT2G1,No,0,No,0,Narrative,2,human,1,"3) Narrative, Human, unpredictable, nonsense)",The group called themselves the 'Running Scarves'. 
1,4,SP1SS0401,1,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"4) Narrative, LLM, predictable, nonsense)",Our guests should be arriving marbles.
1,4,SP1SS0402,2,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"4) Narrative, LLM, predictable, nonsense)",Please set the table before they take their pickles.
1,4,SP1SS0403,3,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"4) Narrative, LLM, predictable, nonsense)",Make sure the living room is free of scattered noodles.
1,4,SP1SS0404,4,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"4) Narrative, LLM, predictable, nonsense)",They’ll probably want to sit and chat on the cupcakes.
1,4,SP1SS0405,5,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"4) Narrative, LLM, predictable, nonsense)","If they’re thirsty, offer them glasses of fresh pianos."
1,4,SP1SS0406,6,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"4) Narrative, LLM, predictable, nonsense)","By the end of the night, everyone will be full of happy staplers."
1,5,SP1SS0501,1,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"5 (Narrative, human, predictable, makes sense)",Liz and Marie sat at the conference table and discussed the topic for the next meeting. 
1,5,SP1SS0502,2,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"5 (Narrative, human, predictable, makes sense)",They pondered whether to invite a guest presenter to speak.
1,5,SP1SS0503,3,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"5 (Narrative, human, predictable, makes sense)","Liz proposed asking an old buddy, who is now a professor, to present his research study."
1,5,SP1SS0504,4,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"5 (Narrative, human, predictable, makes sense)","He works in the IT industry, specializing in machine learning."
1,5,SP1SS0505,5,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"5 (Narrative, human, predictable, makes sense)","He currently teaches at the University of Chicago, but lives in the suburbs, close to Liz and Marie's workplace."
1,5,SP1SS0506,6,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"5 (Narrative, human, predictable, makes sense)",Marie liked the idea and instructed Liz to give him a call.
1,6,SP1SS0601,1,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"6 (Narrative, LLM, predictable, nonsense)","It's raining, and I forgot my coat, hat, and marshmallow."
1,6,SP1SS0602,2,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"6 (Narrative, LLM, predictable, nonsense)",Now I’m running home with dripping spatulas.
1,6,SP1SS0603,3,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"6 (Narrative, LLM, predictable, nonsense)",Cars splash by while I dodge giant cupcakes.
1,6,SP1SS0604,4,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"6 (Narrative, LLM, predictable, nonsense)",My hair sticks up like soggy toothpicks.
1,6,SP1SS0605,5,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"6 (Narrative, LLM, predictable, nonsense)",I can barely see through the misty pancakes.
1,6,SP1SS0606,6,Pre1MS0TT2G0,Yes,1,No,0,Narrative,2,LLM,0,"6 (Narrative, LLM, predictable, nonsense)","Next time, I’ll check the forecast for falling pogo-sticks."
1,7,SP1SS0701,1,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"7)Narrative, human, predictable, makes sense",The wealthy couple's three little girls enjoyed playing together in the yard. 
1,7,SP1SS0702,2,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"7)Narrative, human, predictable, makes sense","They had an abudnace of toys, including dolls, puzzles, and jump ropes. "
1,7,SP1SS0703,3,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"7)Narrative, human, predictable, makes sense","On days that were sunny, they could spend hours outside playing with eacother. "
1,7,SP1SS0704,4,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"7)Narrative, human, predictable, makes sense","If it happened to be rainy, the three girls would watch one of their favorite movies. "
1,7,SP1SS0705,5,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"7)Narrative, human, predictable, makes sense",One girl in particular loved the Barbie movies. 
1,7,SP1SS0706,6,Pre1MS1TT2G1,Yes,1,Yes,1,Narrative,2,human,1,"7)Narrative, human, predictable, makes sense","However, the other two girls preferred to watch a movie from Disney Channel. "
1,8,SP1SS0801,1,Pre0MS0TT2G0,No,0,No,0,Narrative,2,LLM,0,"8) Narrative, LLM, unpredictable, non sense","After dinner, they spent a long time over coffee just blorpulating."
1,8,SP1SS0802,2,Pre0MS0TT2G0,No,0,No,0,Narrative,2,LLM,0,"8) Narrative, LLM, unpredictable, non sense",They giggled softly as conversation turned into cheerful zindleberries.
1,8,SP1SS0803,3,Pre0MS0TT2G0,No,0,No,0,Narrative,2,LLM,0,"8) Narrative, LLM, unpredictable, non sense",Someone proposed a toast to the power of shared flinkaroo.
1,8,SP1SS0804,4,Pre0MS0TT2G0,No,0,No,0,Narrative,2,LLM,0,"8) Narrative, LLM, unpredictable, non sense","Outside, the streetlights flickered like confused wobblesnaps."
1,8,SP1SS0805,5,Pre0MS0TT2G0,No,0,No,0,Narrative,2,LLM,0,"8) Narrative, LLM, unpredictable, non sense",They reminisced about childhood summers filled with sproonkitude.
1,8,SP1SS0806,6,Pre0MS0TT2G0,No,0,No,0,Narrative,2,LLM,0,"8) Narrative, LLM, unpredictable, non sense","Even after dark, their mother could hear them whispering dreams to the fireflies."
1,9,SP1SS0901,1,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"9 (Epository, human, predictable, nonsense)",Most shark attacks occur very close to cafes.
1,9,SP1SS0902,2,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"9 (Epository, human, predictable, nonsense)","Although, they still can happen under any umbrella."
1,9,SP1SS0903,3,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"9 (Epository, human, predictable, nonsense)","To avoid shark attacks, people should try to stay in groups when walking. "
1,9,SP1SS0904,4,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"9 (Epository, human, predictable, nonsense)",A secondary tactic to avoid attacks can involve only swimming during the holiday.
1,9,SP1SS0905,5,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"9 (Epository, human, predictable, nonsense)","It is important to be aware of these tactics, because sharks be found in every liquid. "
1,9,SP1SS0906,6,Pre1MS0TT1G1,Yes,1,No,0,Expository,1,human,1,"9 (Epository, human, predictable, nonsense)","By the end of the night, their hearts felt lighter than floating quibbletocks."
1,10,SP1SS1001,1,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"10 (Epository, LLM, unpredictable, makes sense) ",You can't open the door with the wrong pineapple.
1,10,SP1SS1002,2,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"10 (Epository, LLM, unpredictable, makes sense) ","Instead, you’ll need to look for the matching whistle."
1,10,SP1SS1003,3,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"10 (Epository, LLM, unpredictable, makes sense) ","Sometimes, the trick is hidden behind a tiny bookmark."
1,10,SP1SS1004,4,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"10 (Epository, LLM, unpredictable, makes sense) ","If you’re lucky, a friendly neighbor might lend you their ukulele."
1,10,SP1SS1005,5,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"10 (Epository, LLM, unpredictable, makes sense) ","But usually, the solution arrives disguised as a stubborn teacup."
1,10,SP1SS1006,6,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"10 (Epository, LLM, unpredictable, makes sense) ","When all else fails, try asking politely for the moonlight."
1,11,SP1SS1101,1,Pre1MS1TT1G1,Yes,1,Yes,1,Expository,1,human,1,"11 (Epository, human, predictable, makes sense) ",Don't touch the wet pavement. 
1,11,SP1SS1102,2,Pre1MS1TT1G1,Yes,1,Yes,1,Expository,1,human,1,"11 (Epository, human, predictable, makes sense) ",It could require up to a few days to full dry. 
1,11,SP1SS1103,3,Pre1MS1TT1G1,Yes,1,Yes,1,Expository,1,human,1,"11 (Epository, human, predictable, makes sense) ","It's drying time depends on multiple conditions, like temperature and humidity. "
1,11,SP1SS1104,4,Pre1MS1TT1G1,Yes,1,Yes,1,Expository,1,human,1,"11 (Epository, human, predictable, makes sense) ","On a sunny day, the pavement could dry within a couple hours. "
1,11,SP1SS1105,5,Pre1MS1TT1G1,Yes,1,Yes,1,Expository,1,human,1,"11 (Epository, human, predictable, makes sense) ","However, if it is rainy, the process could last over 72 hours. "
1,11,SP1SS1106,6,Pre1MS1TT1G1,Yes,1,Yes,1,Expository,1,human,1,"11 (Epository, human, predictable, makes sense) ",It is best to away from any wet pavement until the constructon workers finish their job. 
1,12,SP1SS1201,1,Pre1MS0TT1G0,Yes,1,No,0,Expository,1,LLM,0,"12 (Epository, LLM, predictable, nonsense) ","On hot days, many people sun themselves on the marshmallows."
1,12,SP1SS1202,2,Pre1MS0TT1G0,Yes,1,No,0,Expository,1,LLM,0,"12 (Epository, LLM, predictable, nonsense) ",Some bring towels so they don’t stick to the watermelons.
1,12,SP1SS1203,3,Pre1MS0TT1G0,Yes,1,No,0,Expository,1,LLM,0,"12 (Epository, LLM, predictable, nonsense) ",Others prefer umbrellas to avoid too much jellyfish.
1,12,SP1SS1204,4,Pre1MS0TT1G0,Yes,1,No,0,Expository,1,LLM,0,"12 (Epository, LLM, predictable, nonsense) ",Children build castles using wet pancakes.
1,12,SP1SS1205,5,Pre1MS0TT1G0,Yes,1,No,0,Expository,1,LLM,0,"12 (Epository, LLM, predictable, nonsense) ",Surfers ride the waves far beyond the crayons.
1,12,SP1SS1206,6,Pre1MS0TT1G0,Yes,1,No,0,Expository,1,LLM,0,"12 (Epository, LLM, predictable, nonsense) ",Everyone leaves with memories filled with sandy pretzels.
1,13,SP1SS1301,1,Pre0MS0TT1G1,No,0,No,0,Expository,1,human,1,"13 (Epository, Human, unpredictable, non sense)",Cat's love to be scratched behind the pan. 
1,13,SP1SS1302,2,Pre0MS0TT1G1,No,0,No,0,Expository,1,human,1,"13 (Epository, Human, unpredictable, non sense)",A slow blink from a cat is a sign of appreciation and meteors. 
1,13,SP1SS1303,3,Pre0MS0TT1G1,No,0,No,0,Expository,1,human,1,"13 (Epository, Human, unpredictable, non sense)","Cats have incredible vision, especially in low bookshelves. "
1,13,SP1SS1304,4,Pre0MS0TT1G1,No,0,No,0,Expository,1,human,1,"13 (Epository, Human, unpredictable, non sense)","Their whiskers are the width of their body, allowing them to estimate how they can fit in small reindeer. "
1,13,SP1SS1305,5,Pre0MS0TT1G1,No,0,No,0,Expository,1,human,1,"13 (Epository, Human, unpredictable, non sense)","Cats only meow at humans, not other dishes. "
1,13,SP1SS1306,6,Pre0MS0TT1G1,No,0,No,0,Expository,1,human,1,"13 (Epository, Human, unpredictable, non sense)",Cats typically live for 13 to 20 stanzas. 
1,14,SP1SS1401,1,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"14) Epository, LLM, unpredictable, makes sense)",It's hard to admit when one is wrong.
1,14,SP1SS1402,2,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"14) Epository, LLM, unpredictable, makes sense)",Sometimes the truth feels heavier than a promise.
1,14,SP1SS1403,3,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"14) Epository, LLM, unpredictable, makes sense)","We stumble over excuses, trying to protect our pride."
1,14,SP1SS1404,4,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"14) Epository, LLM, unpredictable, makes sense)",But honesty can open doors we didn’t even notice.
1,14,SP1SS1405,5,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"14) Epository, LLM, unpredictable, makes sense)",Admitting mistakes often leads to unexpected strength.
1,14,SP1SS1406,6,Pre0MS1TT1G0,No,0,Yes,1,Expository,1,LLM,0,"14) Epository, LLM, unpredictable, makes sense)","In the end, growth usually begins with a little humility."
1,15,SP1SS1501,1,Pre0MS1TT1G1,No,0,Yes,1,Expository,1,human,1,"15) Epository, Human, unpredictable, makes sense",When you go to bed you turn off the computer. 
1,15,SP1SS1502,2,Pre0MS1TT1G1,No,0,Yes,1,Expository,1,human,1,"15) Epository, Human, unpredictable, makes sense",It is best to stay away from all screens for 30-60 minutes prior to repose. 
1,15,SP1SS1503,3,Pre0MS1TT1G1,No,0,Yes,1,Expository,1,human,1,"15) Epository, Human, unpredictable, makes sense",This is due to blue light supressing melatonin activation in the human anatomy. 
1,15,SP1SS1504,4,Pre0MS1TT1G1,No,0,Yes,1,Expository,1,human,1,"15) Epository, Human, unpredictable, makes sense",Screens can also disrupt your natural circadian beat.
1,15,SP1SS1505,5,Pre0MS1TT1G1,No,0,Yes,1,Expository,1,human,1,"15) Epository, Human, unpredictable, makes sense",Activities like reading are better suited for meditation. 
1,15,SP1SS1506,6,Pre0MS1TT1G1,No,0,Yes,1,Expository,1,human,1,"15) Epository, Human, unpredictable, makes sense",These are best practices to ensure a good nights hibernation. 
1,16,SP1SS1601,1,Pre0MS0TT1G0,No,0,No,0,Expository,1,LLM,0,"16) Epository, LLM, unpredictable, non sense",Most people spend December 25th with their paperclips.
1,16,SP1SS1602,2,Pre0MS0TT1G0,No,0,No,0,Expository,1,LLM,0,"16) Epository, LLM, unpredictable, non sense",Families gather around the table to share warm toasters.
1,16,SP1SS1603,3,Pre0MS0TT1G0,No,0,No,0,Expository,1,LLM,0,"16) Epository, LLM, unpredictable, non sense",Children rush to the tree to open shiny umbrellas.
1,16,SP1SS1604,4,Pre0MS0TT1G0,No,0,No,0,Expository,1,LLM,0,"16) Epository, LLM, unpredictable, non sense",Grandparents tell stories filled with ancient staplers.
1,16,SP1SS1605,5,Pre0MS0TT1G0,No,0,No,0,Expository,1,LLM,0,"16) Epository, LLM, unpredictable, non sense",Everyone laughs together while sipping hot sandcastles.
1,16,SP1SS1606,6,Pre0MS0TT1G0,No,0,No,0,Expository,1,LLM,0,"16) Epository, LLM, unpredictable, non sense","By evening, they’re cozy on the couch beneath fluffy calculators."